partID,age,participant side,trial_num,trial_name,response_29Left_16_right
A101,20,L,1,80_could_will.jpg,29
A101,20,L,2,80_could_should2.jpg,29
A101,20,L,3,100_will_could2.jpg,29
A101,20,L,4,20_will_could2.jpg,16
A101,20,L,5,80_will_should2.jpg,29
A101,20,L,6,20_could_can2.jpg,29
A101,20,L,7,100_will_should2.jpg,29
A101,20,L,8,20_could_should2.jpg,29
A101,20,L,9,100_could_will2.jpg,16
A101,20,L,10,80_will_could2.jpg,16
A101,20,L,11,80_should_could2.jpg,16
A101,20,L,12,20_could_will2.jpg,29
A101,20,L,13,20_should_could2.jpg,16
A101,20,L,14,20_can_could2.jpg,16
A101,20,L,15,80_should_will2.jpg,29
A101,20,L,16,100_should_could2.jpg,29
A101,20,L,17,100_should_will2.jpg,16
A101,20,L,18,100_could_should2.jpg,16
A102,18,L,1,80_could_will.jpg,29
A102,18,L,2,100_should_could2.jpg,29
A102,18,L,3,100_will_could2.jpg,29
A102,18,L,4,100_will_should2.jpg,29
A102,18,L,5,80_will_could2.jpg,16
A102,18,L,6,20_could_should2.jpg,29
A102,18,L,7,100_should_will2.jpg,16
A102,18,L,8,20_will_could2.jpg,16
A102,18,L,9,80_could_should2.jpg,29
A102,18,L,10,20_could_will2.jpg,29
A102,18,L,11,100_could_should2.jpg,16
A102,18,L,12,80_will_should2.jpg,29
A102,18,L,13,20_should_could2.jpg,16
A102,18,L,14,80_should_will2.jpg,16
A102,18,L,15,20_can_could2.jpg,29
A102,18,L,16,100_could_will2.jpg,16
A102,18,L,17,80_should_could2.jpg,16
A102,18,L,18,20_could_can2.jpg,16
A103,21,L,1,80_will_could2.jpg,16
A103,21,L,2,20_could_will2.jpg,29
A103,21,L,3,80_could_will.jpg,29
A103,21,L,4,20_can_could2.jpg,29
A103,21,L,5,80_will_should2.jpg,16
A103,21,L,6,80_could_should2.jpg,29
A103,21,L,7,100_should_could2.jpg,29
A103,21,L,8,20_should_could2.jpg,16
A103,21,L,9,100_could_will2.jpg,16
A103,21,L,10,100_could_should2.jpg,16
A103,21,L,11,20_could_can2.jpg,16
A103,21,L,12,100_will_should2.jpg,29
A103,21,L,13,100_should_will2.jpg,16
A103,21,L,14,100_will_could2.jpg,29
A103,21,L,15,20_could_should2.jpg,29
A103,21,L,16,80_should_could2.jpg,29
A103,21,L,17,20_will_could2.jpg,16
A103,21,L,18,80_should_will2.jpg,29
A104,18,R,1,80_should_will2.jpg,29
A104,18,R,2,20_will_could2.jpg,16
A104,18,R,3,100_could_should2.jpg,16
A104,18,R,4,20_could_will2.jpg,29
A104,18,R,5,80_will_could2.jpg,16
A104,18,R,6,20_could_should2.jpg,29
A104,18,R,7,80_will_should2.jpg,16
A104,18,R,8,80_should_could2.jpg,29
A104,18,R,9,100_could_will2.jpg,16
A104,18,R,10,20_can_could2.jpg,16
A104,18,R,11,100_should_could2.jpg,29
A104,18,R,12,20_could_can2.jpg,29
A104,18,R,13,100_should_will2.jpg,16
A104,18,R,14,100_will_could2.jpg,29
A104,18,R,15,80_could_will.jpg,29
A104,18,R,16,80_could_should2.jpg,16
A104,18,R,17,100_will_should2.jpg,29
A104,18,R,18,20_should_could2.jpg,16
A105,20,L,1,80_could_will.jpg,29
A105,20,L,2,20_could_can2.jpg,29
A105,20,L,3,80_will_should2.jpg,16
A105,20,L,4,100_will_could2.jpg,29
A105,20,L,5,20_can_could2.jpg,16
A105,20,L,6,100_should_could2.jpg,29
A105,20,L,7,20_could_should2.jpg,29
A105,20,L,8,100_should_will2.jpg,16
A105,20,L,9,100_could_should2.jpg,16
A105,20,L,10,80_should_could2.jpg,16
A105,20,L,11,100_could_will2.jpg,16
A105,20,L,12,80_will_could2.jpg,16
A105,20,L,13,20_will_could2.jpg,16
A105,20,L,14,20_should_could2.jpg,16
A105,20,L,15,20_could_will2.jpg,29
A105,20,L,16,100_will_should2.jpg,29
A105,20,L,17,80_could_should2.jpg,29
A105,20,L,18,80_should_will2.jpg,29
A106,19,R,1,80_will_could2.jpg,16
A106,19,R,2,100_should_could2.jpg,29
A106,19,R,3,80_could_should2.jpg,29
A106,19,R,4,80_should_could2.jpg,29
A106,19,R,5,20_could_should2.jpg,29
A106,19,R,6,100_could_should2.jpg,16
A106,19,R,7,80_should_will2.jpg,29
A106,19,R,8,20_could_can2.jpg,29
A106,19,R,9,20_can_could2.jpg,29
A106,19,R,10,100_could_will2.jpg,16
A106,19,R,11,80_could_will.jpg,16
A106,19,R,12,100_will_could2.jpg,29
A106,19,R,13,100_should_will2.jpg,16
A106,19,R,14,20_could_will2.jpg,29
A106,19,R,15,20_will_could2.jpg,16
A106,19,R,16,100_will_should2.jpg,29
A106,19,R,17,20_should_could2.jpg,16
A106,19,R,18,80_will_should2.jpg,29
A107,18,L,1,20_can_could2.jpg,16
A107,18,L,2,100_will_could2.jpg,29
A107,18,L,3,100_could_should2.jpg,16
A107,18,L,4,100_should_could2.jpg,29
A107,18,L,5,20_could_will2.jpg,29
A107,18,L,6,80_should_will2.jpg,29
A107,18,L,7,20_should_could2.jpg,16
A107,18,L,8,20_could_should2.jpg,29
A107,18,L,9,80_will_should2.jpg,16
A107,18,L,10,20_will_could2.jpg,16
A107,18,L,11,20_could_can2.jpg,16
A107,18,L,12,80_could_will.jpg,29
A107,18,L,13,80_should_could2.jpg,16
A107,18,L,14,100_could_will2.jpg,16
A107,18,L,15,100_will_should2.jpg,29
A107,18,L,16,100_should_will2.jpg,16
A107,18,L,17,80_could_should2.jpg,29
A107,18,L,18,80_will_could2.jpg,16
A108,21,L,1,80_will_could2.jpg,16
A108,21,L,2,80_could_will.jpg,29
A108,21,L,3,100_could_will2.jpg,16
A108,21,L,4,100_should_will2.jpg,29
A108,21,L,5,100_should_could2.jpg,29
A108,21,L,6,20_could_can2.jpg,16
A108,21,L,7,80_could_should2.jpg,16
A108,21,L,8,80_should_could2.jpg,29
A108,21,L,9,20_should_could2.jpg,16
A108,21,L,10,20_can_could2.jpg,29
A108,21,L,11,100_will_should2.jpg,29
A108,21,L,12,80_will_should2.jpg,16
A108,21,L,13,20_could_will2.jpg,29
A108,21,L,14,100_could_should2.jpg,16
A108,21,L,15,20_will_could2.jpg,16
A108,21,L,16,20_could_should2.jpg,29
A108,21,L,17,100_will_could2.jpg,29
A108,21,L,18,80_should_will2.jpg,29
A109,22,R,1,80_could_will.jpg,29
A109,22,R,2,100_should_will2.jpg,16
A109,22,R,3,80_should_will2.jpg,29
A109,22,R,4,20_should_could2.jpg,16
A109,22,R,5,20_will_could2.jpg,16
A109,22,R,6,20_could_can2.jpg,29
A109,22,R,7,80_could_should2.jpg,29
A109,22,R,8,80_will_could2.jpg,16
A109,22,R,9,100_should_could2.jpg,29
A109,22,R,10,100_will_could2.jpg,29
A109,22,R,11,100_could_will2.jpg,16
A109,22,R,12,80_should_could2.jpg,16
A109,22,R,13,100_will_should2.jpg,16
A109,22,R,14,100_could_should2.jpg,16
A109,22,R,15,80_will_should2.jpg,16
A109,22,R,16,20_could_will2.jpg,29
A109,22,R,17,20_can_could2.jpg,16
A109,22,R,18,20_could_should2.jpg,29
A110,24,L,1,20_should_could2.jpg,16
A110,24,L,2,80_could_will.jpg,29
A110,24,L,3,20_can_could2.jpg,16
A110,24,L,4,100_should_will2.jpg,29
A110,24,L,5,80_will_could2.jpg,16
A110,24,L,6,100_could_should2.jpg,16
A110,24,L,7,80_could_should2.jpg,16
A110,24,L,8,80_should_could2.jpg,29
A110,24,L,9,100_will_could2.jpg,29
A110,24,L,10,80_should_will2.jpg,29
A110,24,L,11,20_could_should2.jpg,29
A110,24,L,12,20_could_can2.jpg,29
A110,24,L,13,20_will_could2.jpg,16
A110,24,L,14,100_will_should2.jpg,29
A110,24,L,15,20_could_will2.jpg,29
A110,24,L,16,80_will_should2.jpg,16
A110,24,L,17,100_should_could2.jpg,29
A110,24,L,18,100_could_will2.jpg,16
A111,18,R,1,100_will_could2.jpg,29
A111,18,R,2,80_should_could2.jpg,29
A111,18,R,3,80_could_will.jpg,29
A111,18,R,4,80_will_should2.jpg,16
A111,18,R,5,20_could_should2.jpg,29
A111,18,R,6,80_could_should2.jpg,29
A111,18,R,7,100_should_will2.jpg,16
A111,18,R,8,100_should_could2.jpg,29
A111,18,R,9,80_will_could2.jpg,16
A111,18,R,10,80_should_will2.jpg,29
A111,18,R,11,20_can_could2.jpg,16
A111,18,R,12,20_should_could2.jpg,16
A111,18,R,13,100_could_should2.jpg,16
A111,18,R,14,100_could_will2.jpg,16
A111,18,R,15,20_could_will2.jpg,29
A111,18,R,16,20_could_can2.jpg,29
A111,18,R,17,20_will_could2.jpg,16
A111,18,R,18,100_will_should2.jpg,29
A112,19,R,1,80_will_could2.jpg,16
A112,19,R,2,20_should_could2.jpg,16
A112,19,R,3,80_should_could2.jpg,29
A112,19,R,4,80_should_will2.jpg,29
A112,19,R,5,80_will_should2.jpg,16
A112,19,R,6,20_will_could2.jpg,16
A112,19,R,7,100_will_should2.jpg,29
A112,19,R,8,100_will_could2.jpg,29
A112,19,R,9,100_should_could2.jpg,29
A112,19,R,10,20_can_could2.jpg,16
A112,19,R,11,100_should_will2.jpg,16
A112,19,R,12,80_could_should2.jpg,16
A112,19,R,13,20_could_can2.jpg,29
A112,19,R,14,80_could_will.jpg,29
A112,19,R,15,100_could_will2.jpg,16
A112,19,R,16,20_could_will2.jpg,29
A112,19,R,17,20_could_should2.jpg,29
A112,19,R,18,100_could_should2.jpg,16
A113,20,L,1,100_will_should2.jpg,29
A113,20,L,2,80_will_could2.jpg,16
A113,20,L,3,20_will_could2.jpg,16
A113,20,L,4,100_will_could2.jpg,29
A113,20,L,5,20_should_could2.jpg,16
A113,20,L,6,100_could_will2.jpg,16
A113,20,L,7,80_will_should2.jpg,16
A113,20,L,8,100_could_should2.jpg,16
A113,20,L,9,80_should_will2.jpg,29
A113,20,L,10,100_should_will2.jpg,16
A113,20,L,11,20_could_will2.jpg,29
A113,20,L,12,20_could_can2.jpg,16
A113,20,L,13,80_should_could2.jpg,16
A113,20,L,14,20_can_could2.jpg,29
A113,20,L,15,100_should_could2.jpg,29
A113,20,L,16,20_could_should2.jpg,29
A113,20,L,17,80_could_will.jpg,29
A113,20,L,18,80_could_should2.jpg,16
A114,21,R,1,80_should_could2.jpg,16
A114,21,R,2,20_could_should2.jpg,29
A114,21,R,3,20_will_could2.jpg,16
A114,21,R,4,80_could_will.jpg,29
A114,21,R,5,20_could_will2.jpg,29
A114,21,R,6,100_could_will2.jpg,16
A114,21,R,7,80_should_will2.jpg,29
A114,21,R,8,80_could_should2.jpg,16
A114,21,R,9,20_could_can2.jpg,29
A114,21,R,10,100_should_could2.jpg,29
A114,21,R,11,100_will_should2.jpg,29
A114,21,R,12,100_will_could2.jpg,29
A114,21,R,13,20_can_could2.jpg,16
A114,21,R,14,80_will_could2.jpg,16
A114,21,R,15,100_could_should2.jpg,16
A114,21,R,16,80_will_should2.jpg,16
A114,21,R,17,100_should_will2.jpg,16
A114,21,R,18,20_should_could2.jpg,16
A115,21,L,1,100_should_will2.jpg,16
A115,21,L,2,20_should_could2.jpg,16
A115,21,L,3,80_could_will.jpg,29
A115,21,L,4,20_could_can2.jpg,16
A115,21,L,5,80_could_should2.jpg,29
A115,21,L,6,100_will_could2.jpg,29
A115,21,L,7,20_could_will2.jpg,29
A115,21,L,8,80_will_could2.jpg,16
A115,21,L,9,100_could_should2.jpg,16
A115,21,L,10,20_could_should2.jpg,29
A115,21,L,11,80_should_will2.jpg,29
A115,21,L,12,80_will_should2.jpg,16
A115,21,L,13,100_could_will2.jpg,16
A115,21,L,14,80_should_could2.jpg,29
A115,21,L,15,20_can_could2.jpg,16
A115,21,L,16,20_will_could2.jpg,16
A115,21,L,17,100_will_should2.jpg,29
A115,21,L,18,100_should_could2.jpg,29
A116,20,R,1,80_should_could2.jpg,16
A116,20,R,2,80_could_should2.jpg,29
A116,20,R,3,20_should_could2.jpg,16
A116,20,R,4,100_should_could2.jpg,29
A116,20,R,5,100_could_should2.jpg,16
A116,20,R,6,20_could_will2.jpg,29
A116,20,R,7,20_could_should2.jpg,29
A116,20,R,8,100_should_will2.jpg,16
A116,20,R,9,80_should_will2.jpg,29
A116,20,R,10,100_will_could2.jpg,29
A116,20,R,11,20_can_could2.jpg,29
A116,20,R,12,20_could_can2.jpg,16
A116,20,R,13,100_could_will2.jpg,16
A116,20,R,14,80_will_should2.jpg,16
A116,20,R,15,20_will_could2.jpg,16
A116,20,R,16,80_will_could2.jpg,16
A116,20,R,17,100_will_should2.jpg,29
A116,20,R,18,80_could_will.jpg,29
A117,19,L,1,100_could_will2.jpg,16
A117,19,L,2,100_will_should2.jpg,29
A117,19,L,3,20_will_could2.jpg,16
A117,19,L,4,100_will_could2.jpg,29
A117,19,L,5,20_could_can2.jpg,29
A117,19,L,6,20_can_could2.jpg,29
A117,19,L,7,80_should_will2.jpg,29
A117,19,L,8,20_could_will2.jpg,29
A117,19,L,9,100_should_will2.jpg,16
A117,19,L,10,80_could_will.jpg,29
A117,19,L,11,20_should_could2.jpg,16
A117,19,L,12,80_will_should2.jpg,16
A117,19,L,13,20_could_should2.jpg,29
A117,19,L,14,100_should_could2.jpg,29
A117,19,L,15,80_will_could2.jpg,16
A117,19,L,16,80_could_should2.jpg,16
A117,19,L,17,100_could_should2.jpg,16
A117,19,L,18,80_should_could2.jpg,29
A118,20,L,1,100_should_will2.jpg,16
A118,20,L,2,100_will_could2.jpg,29
A118,20,L,3,100_will_should2.jpg,29
A118,20,L,4,80_should_could2.jpg,29
A118,20,L,5,100_should_could2.jpg,29
A118,20,L,6,80_could_should2.jpg,16
A118,20,L,7,100_could_should2.jpg,16
A118,20,L,8,100_could_will2.jpg,16
A118,20,L,9,20_could_can2.jpg,16
A118,20,L,10,80_will_should2.jpg,16
A118,20,L,11,20_can_could2.jpg,29
A118,20,L,12,20_will_could2.jpg,16
A118,20,L,13,20_could_will2.jpg,29
A118,20,L,14,20_could_should2.jpg,29
A118,20,L,15,80_should_will2.jpg,29
A118,20,L,16,20_should_could2.jpg,16
A118,20,L,17,80_could_will.jpg,29
A118,20,L,18,80_will_could2.jpg,16
A119,20,R,1,100_should_could2.jpg,29
A119,20,R,2,80_should_could2.jpg,29
A119,20,R,3,80_will_could2.jpg,16
A119,20,R,4,100_will_could2.jpg,29
A119,20,R,5,20_should_could2.jpg,16
A119,20,R,6,20_could_can2.jpg,29
A119,20,R,7,100_should_will2.jpg,16
A119,20,R,8,20_can_could2.jpg,16
A119,20,R,9,100_could_will2.jpg,16
A119,20,R,10,20_could_should2.jpg,29
A119,20,R,11,80_should_will2.jpg,29
A119,20,R,12,80_could_should2.jpg,16
A119,20,R,13,100_could_should2.jpg,16
A119,20,R,14,80_could_will.jpg,29
A119,20,R,15,80_will_should2.jpg,16
A119,20,R,16,100_will_should2.jpg,29
A119,20,R,17,20_will_could2.jpg,16
A119,20,R,18,20_could_will2.jpg,29
A120,21,L,1,100_could_will2.jpg,16
A120,21,L,2,20_can_could2.jpg,16
A120,21,L,3,80_will_could2.jpg,16
A120,21,L,4,100_should_will2.jpg,16
A120,21,L,5,100_will_should2.jpg,29
A120,21,L,6,100_should_could2.jpg,29
A120,21,L,7,80_could_should2.jpg,16
A120,21,L,8,80_will_should2.jpg,16
A120,21,L,9,80_should_will2.jpg,29
A120,21,L,10,20_could_should2.jpg,29
A120,21,L,11,80_could_will.jpg,29
A120,21,L,12,80_should_could2.jpg,29
A120,21,L,13,20_will_could2.jpg,16
A120,21,L,14,20_could_can2.jpg,29
A120,21,L,15,20_should_could2.jpg,16
A120,21,L,16,20_could_will2.jpg,29
A120,21,L,17,100_could_should2.jpg,16
A120,21,L,18,100_will_could2.jpg,29
A121,20,R,1,80_could_should2.jpg,29
A121,20,R,2,80_will_could2.jpg,16
A121,20,R,3,80_should_could2.jpg,16
A121,20,R,4,100_could_will2.jpg,16
A121,20,R,5,100_should_could2.jpg,29
A121,20,R,6,80_should_will2.jpg,29
A121,20,R,7,20_could_should2.jpg,29
A121,20,R,8,20_could_can2.jpg,29
A121,20,R,9,100_could_should2.jpg,16
A121,20,R,10,80_will_should2.jpg,16
A121,20,R,11,100_will_should2.jpg,29
A121,20,R,12,20_can_could2.jpg,16
A121,20,R,13,20_could_will2.jpg,29
A121,20,R,14,20_should_could2.jpg,16
A121,20,R,15,20_will_could2.jpg,16
A121,20,R,16,100_will_could2.jpg,29
A121,20,R,17,100_should_will2.jpg,16
A121,20,R,18,80_could_will.jpg,29
